model,position,sentence,nli_score,hallucinated
BART,middle,Their father Sardar Nand Singh who was 42 330 found entitled to quasi Permanent allotment of 40 standard acres and 5 1/4 units of land was given quasipermanent allotment in another village named Humbran in the same district.,0.3401,True
BART,middle,"This application was rejected by the Assistant Custodian on July 23, 1951 on the ground that no land was available in the villageRaikot.",0.0717,True
LED,first,The Judgment of the Court was delivered by MUDHOLKAR J.,0.4367,True
LED,middle,"There is no specific provision in this Act to the effect that after its commencement the jurisdiction of the various authorities created by the , to deal with the allotment or cancellation of allotment of evacuee property shall cease.",0.2473,True
LED,middle,"What is urged by Mr. Khanna on behalf of the appellants is that there is no provision for continuing the pro ceedings which had been commenced under the , but had not been concluded.",0.0329,True
LED,last,It is a matter of fact that during the pendency of the appeal the appellant did not make an application for re-apportionment,0.3218,True
PEGASUS,first,"The Punjab and Haryana High Court has ruled that the Deputy Custodian General, Evacuee Property, Now Delhi should not have cancelled the order of allotment of land in the village Raikot made in favour of the appellants in the year 1949.",0.0999,True
MISTRAL-7B,middle,"Their father, who was entitled to a larger allotment in another village, had applied for consolidation of lands with his sons' allotment in Raikot, but this application was rejected due to lack of available land.",0.2296,True
MISTRAL-7B,middle,"The cancellation of the allotment in Raikot and subsequent allotment in Karodian was made by the Additional Custodian for the State of Punjab in 1952, citing Rule 14(6) of the Evacuee Property Rules.",0.4357,True
MISTRAL-7B,middle,"The appellants challenged this decision, arguing that their jurisdiction to revise the order had not been taken away by the provisions of the Rehabilitation Act of 1954.",0.3819,True
MISTRAL-7B,middle,"However, the Deputy Custodian General dismissed their application, citing the Rehabilitation Act's provisions as taking away his jurisdiction to deal with matters of this kind.",0.1597,True
MISTRAL-7B,last,"The appellants appealed to the Supreme Court of India, arguing that there was no specific provision in the Act that prevented them from dealing with the allotment or cancellation of evacuee property after its commencement.",0.1308,True
FALCON-7B,first,The decision of the Delhi High Court in Bal Mukund case is not applicable to the present case as it was based on the provisions of the 1954 Act.,0.0409,True
FALCON-7B,middle,"The , under the , has no power to deal with evacuee property acquired under the .",0.1199,True
FALCON-7B,last,The decision of the Delhi High Court in Bal Mukund case is not applicable,0.1539,True
